MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DEL15,DISTANCE,DEP_HOUR
8,15,5,DL,ATL,Other,0,696.0,8
2,17,1,AA,Other,ORD,1,137.0,7
5,29,4,OO,Other,SLC,0,615.0,12
8,31,7,DL,Other,Other,1,1028.0,15
5,24,6,B6,Other,Other,1,106.0,21
4,17,4,OO,DEN,Other,1,423.0,17
8,27,3,WN,Other,Other,0,1131.0,17
3,28,5,OO,PHX,Other,0,854.0,20
2,26,3,UA,Other,DEN,0,1703.0,12
6,4,3,AS,PHX,SEA,0,1107.0,11
12,2,2,YX,ORD,DTW,1,235.0,16
9,2,2,WN,Other,Other,0,351.0,6
9,6,6,UA,Other,LAX,0,2288.0,20
4,21,1,DL,Other,ATL,0,153.0,17
12,13,6,WN,Other,DEN,0,73.0,15
1,1,3,DL,Other,MSP,0,695.0,10
10,11,6,UA,ORD,LGA,0,733.0,6
12,26,5,WN,DEN,Other,1,872.0,20
2,7,5,DL,DTW,MSP,0,528.0,7
5,4,7,UA,Other,SFO,0,1433.0,13
9,27,6,NK,DTW,IAH,0,1075.0,7
3,2,7,DL,BOS,Other,0,612.0,20
5,31,6,OO,Other,DTW,0,371.0,6
2,13,4,OO,Other,ORD,0,157.0,14
7,29,2,OO,Other,DFW,0,674.0,16
6,18,3,DL,MCO,LAX,0,2218.0,16
11,13,4,DL,DEN,BOS,0,1754.0,11
8,25,1,B6,Other,SFO,0,2586.0,12
8,6,3,WN,Other,PHX,0,1489.0,18
6,27,5,AS,Other,LAX,0,834.0,10
4,24,4,WN,Other,MCO,0,787.0,17
11,10,1,OO,Other,LAX,0,451.0,12
5,29,4,NK,Other,MCO,1,1246.0,13
2,13,4,AA,Other,PHX,0,601.0,6
3,15,6,OH,CLT,Other,0,88.0,16
2,9,7,DL,LAX,ATL,0,1947.0,7
7,10,4,AA,SLC,Other,0,1927.0,23
5,25,7,WN,Other,SLC,0,588.0,11
1,5,7,B6,Other,Other,1,1028.0,15
11,15,6,F9,DEN,MCO,0,1547.0,9
10,10,5,AS,SEA,Other,0,605.0,21
6,27,5,DL,ATL,Other,0,674.0,14
10,15,3,AA,ORD,PHX,1,1440.0,20
7,6,7,YX,Other,BOS,0,496.0,6
8,7,4,OO,DEN,Other,1,751.0,17
9,30,2,OO,Other,SFO,0,447.0,16
9,15,1,AA,PHX,Other,0,1670.0,15
12,25,4,DL,MSP,MCO,0,1310.0,12
3,9,7,UA,ORD,IAH,0,925.0,14
8,22,5,AA,ORD,BOS,0,867.0,15
6,24,2,OH,Other,CLT,0,221.0,6
12,6,6,WN,Other,Other,0,994.0,10
1,16,4,WN,Other,MCO,0,479.0,16
2,18,2,WN,Other,LAS,0,1524.0,11
4,30,3,DL,SLC,ATL,0,1590.0,8
9,2,2,UA,DEN,Other,0,301.0,11
4,19,6,AS,SEA,Other,1,1709.0,18
11,26,3,B6,LAX,Other,0,2475.0,20
7,8,2,WN,Other,Other,0,1129.0,19
11,10,1,WN,Other,Other,1,417.0,18
12,25,4,AA,Other,DFW,1,1231.0,6
4,4,5,OO,Other,PHX,0,110.0,15
2,9,7,UA,DEN,Other,0,770.0,13
10,27,1,OO,SEA,Other,0,566.0,12
11,14,5,DL,ATL,SFO,0,2139.0,12
1,28,2,AA,LAX,MIA,0,2342.0,6
7,11,5,AA,Other,BOS,0,280.0,8
1,18,6,OH,CLT,Other,0,394.0,9
8,25,1,G4,Other,Other,0,1124.0,13
2,4,2,AA,MIA,MCO,0,192.0,9
6,17,2,WN,DEN,Other,0,896.0,8
9,26,5,WN,Other,Other,1,192.0,19
1,16,4,DL,DTW,LGA,0,502.0,7
8,28,4,F9,MIA,IAH,0,964.0,12
1,18,6,OH,Other,DCA,0,634.0,6
12,26,5,WN,SEA,LAS,0,867.0,5
3,28,5,DL,SEA,ATL,0,2182.0,22
10,6,1,AA,PHX,Other,0,2076.0,15
2,11,2,UA,Other,SFO,0,447.0,7
4,3,4,UA,LAX,DEN,0,862.0,12
10,10,5,OO,Other,CLT,1,241.0,18
8,3,7,OO,ORD,Other,1,174.0,16
2,20,4,AA,CLT,DEN,1,1337.0,21
8,3,7,WN,Other,LAS,0,1076.0,7
7,18,5,MQ,ORD,Other,0,1060.0,20
9,17,3,NK,DTW,LGA,1,502.0,20
4,1,2,UA,SFO,Other,0,2254.0,8
11,14,5,OO,SFO,Other,0,326.0,16
10,25,6,WN,Other,DTW,1,228.0,14
6,15,7,MQ,PHX,IAH,0,1009.0,9
4,16,3,UA,EWR,Other,0,820.0,12
7,2,3,OO,Other,LAX,0,1211.0,7
2,21,5,DL,MIA,Other,0,1089.0,7
3,25,2,YX,EWR,Other,0,872.0,9
4,13,7,WN,Other,Other,0,1164.0,17
10,22,3,OO,Other,Other,1,105.0,21
4,4,5,WN,Other,Other,0,633.0,9
10,1,3,MQ,Other,ORD,0,315.0,17
2,19,3,AA,Other,CLT,1,742.0,7
10,23,4,AA,DFW,Other,0,1345.0,12
1,9,4,B6,DTW,BOS,0,632.0,12
3,4,2,DL,MIA,Other,0,1089.0,17
12,25,4,OO,DEN,Other,0,594.0,19
5,17,6,B6,MCO,BOS,0,1121.0,6
2,22,6,UA,SFO,Other,0,2367.0,9
7,9,3,WN,Other,Other,1,1108.0,8
3,13,4,B6,Other,LAS,0,2173.0,7
9,8,1,UA,EWR,Other,0,404.0,15
7,26,6,OO,Other,ORD,0,397.0,8
1,12,7,UA,Other,DEN,0,406.0,7
9,22,1,AA,SLC,ORD,1,1250.0,13
8,16,6,WN,MCO,Other,0,616.0,16
7,8,2,WN,Other,Other,0,587.0,9
12,15,1,AA,LGA,ORD,0,733.0,17
4,15,2,WN,LAS,MCO,0,2039.0,22
5,4,7,AA,DFW,Other,1,925.0,18
12,5,5,AS,Other,SEA,0,1448.0,16
5,23,5,DL,Other,SLC,0,1156.0,14
6,22,7,NK,Other,MCO,0,388.0,11
10,2,4,OO,Other,DEN,0,227.0,11
3,31,1,AA,PHX,Other,0,304.0,7
1,27,1,WN,SFO,PHX,0,651.0,12
5,30,5,YX,Other,ORD,0,536.0,13
4,18,5,DL,ATL,EWR,0,746.0,14
9,24,3,AA,CLT,Other,1,157.0,15
3,25,2,DL,LGA,Other,0,1010.0,7
6,2,1,WN,Other,LAS,0,1069.0,13
12,12,5,B6,Other,MCO,0,1178.0,5
2,18,2,WN,Other,Other,1,650.0,17
5,1,4,DL,BOS,Other,0,1237.0,15
5,19,1,UA,Other,ORD,0,717.0,6
10,22,3,AS,SEA,DFW,0,1660.0,17
7,6,7,OO,SEA,Other,0,93.0,20
5,3,6,WN,Other,DEN,0,1015.0,15
10,9,4,DL,ATL,Other,0,432.0,8
5,11,7,DL,SEA,LAX,1,954.0,19
7,8,2,HA,PHX,Other,0,2917.0,8
11,19,3,UA,SFO,Other,0,192.0,13
6,6,5,UA,LAS,ORD,0,1514.0,18
6,7,6,YX,Other,LGA,0,659.0,8
10,15,3,DL,ATL,DTW,0,594.0,6
8,26,2,NK,Other,Other,0,1576.0,8
11,2,7,WN,Other,Other,0,1481.0,10
6,8,7,OO,Other,SLC,0,926.0,8
6,28,6,WN,LAS,Other,1,1076.0,18
11,11,2,MQ,DFW,Other,0,900.0,12
8,2,6,AA,DFW,Other,1,237.0,17
10,13,1,WN,MCO,Other,0,534.0,19
5,1,4,YX,DCA,Other,0,384.0,8
4,3,4,WN,Other,LAS,0,1069.0,14
11,11,2,WN,Other,Other,0,387.0,18
10,11,6,AA,Other,PHX,0,347.0,6
10,1,3,YX,Other,DCA,0,949.0,17
12,13,6,UA,DEN,Other,1,931.0,19
9,16,2,OO,SFO,Other,0,620.0,9
10,9,4,AA,PHX,Other,1,2153.0,13
4,2,3,UA,DEN,Other,0,455.0,11
11,14,5,WN,Other,Other,1,404.0,18
5,12,1,WN,SEA,Other,0,672.0,20
1,14,2,WN,DEN,Other,0,804.0,14
1,6,1,WN,LAS,Other,0,386.0,19
7,29,2,OH,DFW,Other,0,280.0,7
3,28,5,OO,Other,DEN,0,639.0,7
12,12,5,WN,Other,PHX,0,1044.0,12
11,5,3,OH,Other,Other,0,473.0,12
2,27,4,AA,DFW,Other,0,569.0,17
3,12,3,AA,Other,DFW,0,1021.0,5
3,2,7,WN,Other,Other,0,494.0,17
5,16,5,AA,ORD,Other,0,1726.0,7
1,15,3,AA,Other,CLT,0,430.0,6
5,1,4,DL,Other,ATL,0,545.0,15
7,3,4,DL,MSP,Other,0,1175.0,12
10,14,2,AA,IAH,PHX,1,1009.0,15
12,16,2,F9,DEN,Other,0,1506.0,23
7,14,1,DL,SEA,Other,0,2354.0,15
2,17,1,HA,Other,Other,0,216.0,6
7,6,7,WN,Other,Other,0,296.0,10
5,29,4,OO,Other,DEN,1,141.0,7
4,15,2,UA,IAH,EWR,0,1400.0,18
2,7,5,DL,MSP,LGA,0,1020.0,19
1,15,3,DL,Other,MIA,0,1089.0,13
2,3,1,DL,MCO,SLC,0,1931.0,16
1,24,5,DL,DTW,Other,0,120.0,21
8,7,4,F9,Other,MCO,0,534.0,6
7,25,5,DL,Other,LAX,0,2475.0,16
7,27,7,UA,IAH,Other,0,787.0,12
11,26,3,AA,LAX,Other,0,2402.0,23
12,12,5,YX,Other,Other,0,765.0,13
12,12,5,DL,ATL,Other,0,306.0,19
1,15,3,AA,CLT,MIA,0,650.0,10
9,27,6,OO,ORD,Other,0,323.0,13
2,1,6,UA,DEN,SFO,0,967.0,15
10,13,1,OH,Other,Other,0,588.0,13
7,30,3,B6,BOS,Other,0,280.0,8
10,6,1,OO,Other,SEA,0,399.0,9
5,8,4,UA,DEN,Other,0,616.0,17
6,23,1,AS,Other,Other,0,571.0,17
10,3,5,AA,DFW,Other,0,821.0,14
11,15,6,DL,Other,Other,0,1069.0,15
8,1,5,OO,ATL,Other,0,330.0,8
6,21,6,AA,DFW,Other,0,1391.0,7
10,6,1,YX,Other,BOS,1,496.0,18
2,12,3,UA,Other,DEN,0,898.0,5
11,16,7,UA,IAH,BOS,0,1597.0,12
1,19,7,OO,Other,DEN,0,456.0,7
4,9,3,WN,Other,Other,0,389.0,12
12,20,6,OO,Other,ORD,0,585.0,14
12,18,4,NK,Other,Other,0,806.0,17
10,8,3,OO,ATL,Other,0,1304.0,9
7,15,2,OO,LAS,Other,0,258.0,7
7,3,4,WN,Other,Other,1,1751.0,20
4,1,2,AA,PHX,Other,0,1670.0,9
2,15,6,WN,Other,MCO,0,994.0,6
6,5,4,OH,DCA,Other,0,310.0,7
4,17,4,WN,Other,LAS,0,806.0,6
3,2,7,OH,Other,DCA,0,949.0,5
12,22,1,YX,LGA,Other,0,431.0,17
4,1,2,AA,MIA,Other,0,1045.0,8
10,7,2,OO,Other,Other,0,445.0,9
6,23,1,UA,DEN,Other,0,775.0,9
3,8,6,NK,ATL,Other,1,581.0,10
4,29,2,WN,Other,PHX,0,872.0,21
11,21,5,OO,Other,IAH,0,201.0,9
8,11,1,OH,CLT,Other,0,213.0,8
11,13,4,YX,Other,BOS,0,829.0,16
11,14,5,UA,DEN,Other,0,563.0,20
9,25,4,AA,Other,ORD,0,1162.0,13
2,26,3,WN,MIA,Other,0,946.0,17
4,6,7,OO,DFW,Other,0,113.0,20
5,13,2,WN,LAX,DEN,0,862.0,6
1,14,2,AA,CLT,LGA,0,544.0,11
6,21,6,AA,Other,CLT,0,547.0,8
1,8,3,UA,EWR,MIA,1,1085.0,10
6,26,4,UA,DEN,Other,1,1558.0,23
5,4,7,DL,Other,DTW,1,1084.0,14
2,27,4,AS,SEA,Other,0,2640.0,12
3,28,5,OH,Other,Other,0,957.0,14
8,27,3,UA,IAH,Other,0,1190.0,7
9,29,1,AS,Other,LAX,0,2504.0,15
3,10,1,WN,BOS,DEN,0,1754.0,5
8,28,4,AA,MIA,CLT,0,650.0,11
4,26,6,OO,SFO,Other,0,192.0,22
4,17,4,WN,DEN,Other,0,651.0,17
9,14,7,AA,DFW,Other,0,1212.0,10
2,16,7,G4,Other,Other,1,515.0,16
2,5,3,WN,LAS,PHX,0,255.0,15
11,18,2,OO,ORD,Other,1,222.0,11
9,28,7,OH,CLT,Other,0,168.0,13
9,2,2,WN,Other,Other,0,1036.0,17
11,18,2,AA,PHX,Other,0,304.0,15
6,11,3,DL,Other,MSP,0,1532.0,6
1,28,2,WN,SFO,DEN,0,967.0,10
5,27,2,WN,DCA,Other,0,562.0,6
9,8,1,OO,SLC,Other,0,387.0,16
8,23,6,OO,Other,DTW,0,344.0,17
5,24,6,OO,Other,IAH,0,562.0,6
8,7,4,DL,ATL,Other,0,447.0,21
7,19,6,OO,SEA,Other,0,956.0,19
8,18,1,AA,Other,ORD,0,678.0,9
11,19,3,DL,ATL,MSP,0,907.0,22
7,17,4,WN,SLC,Other,0,1259.0,5
10,4,6,WN,Other,Other,0,880.0,16
7,27,7,B6,Other,MCO,1,1142.0,16
9,26,5,DL,SEA,LAX,1,954.0,19
7,12,6,AA,MIA,Other,0,806.0,21
10,28,2,OO,DEN,Other,0,280.0,16
12,6,6,WN,Other,Other,0,353.0,12
2,22,6,WN,Other,Other,0,1137.0,15
1,27,1,AA,Other,CLT,0,507.0,17
9,22,1,DL,DCA,DTW,0,405.0,12
5,1,4,AA,Other,Other,0,742.0,11
5,1,4,NK,Other,LAS,0,386.0,8
12,10,3,DL,ATL,DCA,0,547.0,7
5,2,5,NK,Other,LAS,0,223.0,8
11,17,1,WN,Other,Other,0,390.0,9
11,1,6,WN,Other,Other,1,587.0,18
7,23,3,AA,Other,DFW,1,931.0,19
3,5,3,AA,Other,CLT,0,366.0,14
1,9,4,YX,DCA,ATL,0,547.0,8
2,21,5,DL,LAX,DTW,0,1979.0,22
4,13,7,WN,Other,Other,0,873.0,21
7,25,5,AA,DFW,MSP,1,852.0,21
8,10,7,MQ,ORD,Other,0,536.0,15
9,12,5,DL,ATL,Other,0,516.0,11
11,15,6,OH,DFW,Other,1,500.0,16
5,31,6,MQ,ORD,Other,0,258.0,17
12,8,1,AA,Other,MIA,0,204.0,17
10,22,3,UA,LAS,ORD,0,1514.0,7
5,29,4,UA,Other,SFO,0,2521.0,6
12,21,7,DL,DTW,CLT,0,500.0,7
12,28,7,UA,Other,DEN,1,1201.0,10
2,24,1,AA,Other,ORD,0,1050.0,16
11,17,1,OH,DCA,Other,0,816.0,9
4,4,5,WN,Other,Other,1,1557.0,18
12,4,4,YX,ORD,Other,0,413.0,19
7,11,5,WN,LAS,Other,1,197.0,12
10,25,6,WN,Other,Other,1,548.0,17
7,12,6,DL,Other,DTW,0,837.0,12
4,7,1,YX,Other,DTW,0,306.0,7
8,7,4,YX,EWR,Other,0,463.0,16
10,3,5,OO,Other,MSP,0,553.0,15
9,4,4,DL,ATL,Other,0,554.0,13
9,29,1,DL,BOS,MIA,0,1258.0,7
1,23,4,UA,IAH,ORD,0,925.0,21
11,20,4,UA,Other,EWR,1,628.0,19
3,14,5,OO,DEN,Other,1,212.0,13
